model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;subgroup;outcome
PLIV_FE_cluster;backlog;-0.007347;0.012387;-0.3091;-1.3306;0.7123;0.553077;;20755;42;115;2.376833;rp9_exposed;gov
PLIV_FE_cluster;backlog;-0.024099;0.006746;-0.9857;-1.5264;-0.4449;0.000354;***;622839;597;135;2.445002;rp9_not_exposed;gov
