model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;subgroup
PLIV_FE_cluster;backlog;-0.011391;0.013133;-0.4792;-1.5622;0.6037;0.385748;;20755;42;125;2.376833;rp9_exposed
PLIV_FE_cluster;backlog;-0.055608;0.00967;-2.2744;-3.0495;-1.4992;0.0;***;622839;597;144;2.445002;rp9_not_exposed
