metric;rho_pooled;rho_leg55;rho_leg56;n_55;n_56
pol_jaccard;-0.14953412577247566;-0.09497148661775835;-0.16874021531462996;226308;643594
pol_paper;;;;0;0
pol_paper_euclidean_mds;0.01912600604921475;-0.0896182697443662;0.005262364945799993;226308;643594
pol_paper_forte_mds;0.03592996675059858;0.05310300495237249;0.00482046392189135;226308;643594
pol_paper_fraca_mds;-0.010343934131618708;-0.06499554237833087;-0.004562761009836322;226308;643594
pol_simple;-0.14375482616960364;-0.10825088060458063;-0.16561281298097627;226308;643594
