model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;subgroup;outcome
PLIV_FE_cluster;backlog;-0.006276;0.012278;-0.2641;-1.2766;0.7484;0.609237;;20755;42;115;2.376833;rp9_exposed;centrao
PLIV_FE_cluster;backlog;-0.016614;0.008044;-0.6795;-1.3243;-0.0347;0.038889;**;622839;597;135;2.445002;rp9_not_exposed;centrao
