year;RP-6;RP-6 Pix;RP-7;RP-8;RP-9;Total;RCL_bi;Discr_bi;share_rcl_pct;share_discr_pct;share_mand_discr_pct;share_disc_discr_pct
2014;6.09430555529;0.0;0.0;0.0;0.0;6.09430555529;638.7;119.4;0.9541734077485516;5.104108505268006;5.104108505268006;0.0
2015;3.38346092345;0.0;0.0;0.0;0.0;3.38346092345;668.2;115.8;0.5063545231143369;2.921814268955095;2.921814268955095;0.0
2016;7.2227190094700005;0.0;3.63992752098;1.31402650277;13.745283383870001;25.92195641709;678.6;124.2;3.819916949173298;20.871140432439613;8.746092214533011;12.125048217906603
2017;7.12173806059;0.0;5.08350471633;0.8661819186499999;4.46051189782;17.53193659339;759.3;124.8;2.308960436374292;14.048026116498399;9.779841968685897;4.268184147812501
2018;8.45751291459;0.0;3.36296075846;0.19052888276;0.0;12.01100255581;830.5;130.5;1.4462375142456352;9.203833376099617;9.057834232222222;0.14599914387739463
2019;8.54018021445;0.0;4.71520211716;0.19032415652;0.41735796458999996;13.86306445272;932.4;134.4;1.4868151493693693;10.31478009875;9.862635663400297;0.45214443534970233
2020;8.606741157110001;0.621218088;6.501863894;0.57771216706;21.23319017325;37.540725479420004;967.9;168.7;3.8785747989895656;22.252949306117372;9.32413938299348;12.92880992312389
2021;7.41733172281;2.038563762;7.2231103148599995;0.0;16.719609211;33.39861501067;1133.8;134.7;2.945723673546481;24.794814410296958;12.382335411781739;12.41247899851522
2022;7.40083866133;3.316992736;5.79130024231;0.30808245838;8.64094181217;25.45815591019;1351.7;195.0;1.883417615609233;13.055464569328207;8.466221353661538;4.5892432156666665
2023;13.808367089239999;7.078911815;7.62000381837;6.8713044212300005;0.0;35.37858714384;1310.5;175.0;2.699625115897749;20.216335510765713;16.289875841491426;3.926459669274286
2024;16.99441238894;7.682452727;8.40327586104;11.73421993849;0.0;44.81436091547;1390.0;168.0;3.2240547421201438;26.675214830636904;19.690560105345234;6.984654725291667
2025;17.30397577743;6.96579119224;11.553471969450001;11.24798322835;0.0;47.071222167470005;1450.0;175.0;3.2462911839634487;26.89784123855429;20.470422250925715;6.427418987628571
2026;15.58830193375;2.87603778608;6.482337272260001;5.145479047529999;0.0;30.09215603962;;;;;;
