model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;subgroup
PLIV_FE_cluster;backlog;-0.006249;0.012037;-0.2642;-1.2617;0.7333;0.603697;;20277;42;113;2.365145;rp9_exposed
PLIV_FE_cluster;backlog;-0.031232;0.007445;-1.2727;-1.8673;-0.678;2.7e-05;***;595554;596;131;2.453993;rp9_not_exposed
