ano;n_deputados;media_n_cargos;pct_lideranca;pct_mesa;pct_pres_comissao
1999;516;4.426356589147287;0.0;0.003875968992248062;0.0
2000;536;7.003731343283582;0.0;0.0037313432835820895;0.0
2001;550;8.261818181818182;0.0;0.005454545454545455;0.0
2002;549;8.591985428051002;0.0;0.0018214936247723133;0.0
2003;736;9.014945652173912;0.0;0.002717391304347826;0.0
2004;534;10.234082397003744;0.0;0.11235955056179775;0.0
2005;555;10.504504504504505;0.0;0.11891891891891893;0.0
2006;544;10.590073529411764;0.0;0.10477941176470588;0.0
2007;773;8.153945666235446;0.0;0.07373868046571798;0.0
2008;540;7.774074074074074;0.0;0.0;0.0
2009;556;10.293165467625899;0.0;0.048561151079136694;0.0
2010;540;9.687037037037037;0.0;0.05;0.0
2011;767;8.911342894393742;0.0;0.03389830508474576;0.0
2012;555;9.974774774774774;0.0;0.0;0.0
2013;566;13.086572438162545;0.0;0.0;0.0
2014;561;12.96078431372549;0.0;0.0;0.0
2015;755;14.381456953642385;0.0;0.0;0.0
2016;553;16.759493670886076;0.0;0.05244122965641953;0.0
2017;556;16.73381294964029;0.0;0.048561151079136694;0.0
2018;554;15.34115523465704;0.0;0.04512635379061372;0.0
2019;801;14.037453183520599;0.0;0.0299625468164794;0.0
2020;570;9.864912280701754;0.0;0.0;0.0
2021;584;12.705479452054794;0.0;0.0;0.0
2022;554;15.541516245487365;0.0;0.0;0.0
2023;793;11.07061790668348;0.0;0.0;0.0
2024;562;10.921708185053381;0.0;0.0;0.0
2025;534;10.220973782771535;0.0;0.0018726591760299626;0.0
2026;506;6.262845849802371;0.0;0.001976284584980237;0.0
