model;beta_dT;se;ci_lo;ci_hi;pval;n_obs;n_pecs;r2
OLS no FE;0.003652;0.001496;0.000719;0.006584;0.014672;3383;9;0.0002
OLS + PEC FE;-0.002064;0.001826;-0.005642;0.001515;0.258338;3383;9;0.0178
