metric;rho_monthly_pooled;rho_monthly_leg55;rho_monthly_leg56;n_months_55;n_months_56
pol_simple_mean;-0.03905114275246351;0.0744779144209405;-0.30227563511164074;41;43
pol_jaccard_mean;-0.05922791240676612;0.11767610209100872;-0.3178738783577368;41;43
pol_paper_euc;0.1099822951836337;-0.38264435018036014;0.057457292764724145;41;43
