legis;Y_observed_pct;Y_counterfactual_pct;delta_pp;%_of_Y_obs;T_mean_R$M;n_obs
all;73.54;78.09;-4.548;-6.18;1.634;869902
55;71.52;69.0;2.52;3.52;1.3;226308
56;74.26;75.9;-1.643;-2.21;1.751;643594
