group;model;iv_set;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls
leg55_ori_Sim;PLR_FE_cluster;none;0.0851;-0.056;0.2261;0.237076;;121722;614;104
leg55_ori_Sim;PLIV_FE_cluster;backlog;-1.0094;-2.2434;0.2245;0.108856;;121722;614;104
leg56_ori_Sim;PLR_FE_cluster;none;-0.0363;-0.0967;0.0241;0.23901;;322952;596;118
leg56_ori_Sim;PLIV_FE_cluster;backlog;0.1285;-0.3287;0.5857;0.581616;;322952;596;118
leg55_ori_Nao;PLR_FE_cluster;none;0.2832;0.1079;0.4584;0.001539;***;103643;611;107
leg55_ori_Nao;PLIV_FE_cluster;backlog;0.3539;-0.9959;1.7037;0.607339;;103643;611;107
leg56_ori_Nao;PLR_FE_cluster;none;-0.0655;-0.1436;0.0126;0.099993;*;320615;596;124
leg56_ori_Nao;PLIV_FE_cluster;backlog;-0.1256;-0.5943;0.3431;0.599405;;320615;596;124
leg55_T_low;PLR_FE_cluster;none;-0.9089;-3.0697;1.252;0.409731;;35585;532;110
leg55_T_low;PLIV_FE_cluster;backlog;-8.1303;-15.8311;-0.4295;0.038516;**;35585;532;110
leg55_T_mid;PLR_FE_cluster;none;-0.3532;-1.1722;0.4657;0.397856;;35581;528;106
leg55_T_mid;PLIV_FE_cluster;backlog;19.6421;8.9064;30.3778;0.000336;***;35581;528;106
leg55_T_high;PLR_FE_cluster;none;-0.0959;-0.471;0.2791;0.616075;;35584;531;104
leg55_T_high;PLIV_FE_cluster;backlog;-1.5558;-2.3521;-0.7595;0.000128;***;35584;531;104
leg56_T_low;PLR_FE_cluster;none;-0.057;-1.1781;1.0641;0.920641;;131681;533;128
leg56_T_low;PLIV_FE_cluster;backlog;-20.6803;-45.3601;3.9995;0.100514;;131681;533;128
leg56_T_mid;PLR_FE_cluster;none;-0.4284;-0.9368;0.0801;0.098692;*;131669;530;129
leg56_T_mid;PLIV_FE_cluster;backlog;-7.363;-11.8579;-2.868;0.001325;***;131669;530;129
leg56_T_high;PLR_FE_cluster;none;0.1145;-0.0697;0.2986;0.223027;;131676;534;127
leg56_T_high;PLIV_FE_cluster;backlog;0.7536;0.2856;1.2216;0.0016;***;131676;534;127
leg55_opos_naoel;PLR_FE_cluster;none;0.939;0.175;1.7029;0.015993;**;40458;224;102
leg55_opos_naoel;PLIV_FE_cluster;backlog;9.9958;1.6518;18.3397;0.018874;**;40458;224;102
leg55_opos_el;PLR_FE_cluster;none;-0.2084;-0.6607;0.2438;0.366372;;5066;85;82
leg55_opos_el;PLIV_FE_cluster;backlog;4.8717;-2.8022;12.5456;0.213391;;5066;85;82
leg55_coal_naoel;PLR_FE_cluster;none;0.7528;0.5498;0.9557;0.0;***;126173;511;106
leg55_coal_naoel;PLIV_FE_cluster;backlog;2.8027;0.6245;4.9809;0.01167;**;126173;511;106
leg55_coal_el;PLR_FE_cluster;none;-0.1576;-0.347;0.0319;0.103083;;20685;383;84
leg55_coal_el;PLIV_FE_cluster;backlog;-13.9427;-86.6408;58.7554;0.706987;;20685;383;84
leg56_opos_naoel;PLR_FE_cluster;none;-0.2868;-0.5073;-0.0663;0.010799;**;136756;155;121
leg56_opos_naoel;PLIV_FE_cluster;backlog;-1.7251;-2.794;-0.6563;0.001559;***;136756;155;121
leg56_opos_el;PLR_FE_cluster;none;0.1632;-0.0082;0.3346;0.06196;*;42029;148;98
leg56_opos_el;PLIV_FE_cluster;backlog;1.9623;0.7335;3.1911;0.001748;***;42029;148;98
leg56_coal_naoel;PLR_FE_cluster;none;-0.3537;-0.4426;-0.2648;0.0;***;190471;331;121
leg56_coal_naoel;PLIV_FE_cluster;backlog;-3.2972;-4.1675;-2.4268;0.0;***;190471;331;121
leg56_coal_el;PLR_FE_cluster;none;0.1143;0.0274;0.2011;0.009968;***;86743;355;100
leg56_coal_el;PLIV_FE_cluster;backlog;2.1784;0.7701;3.5868;0.002431;***;86743;355;100
