mes;__status;align_mean;emenda_mean;pct_pos_emenda;n
2019-02-01;coal;0.9114077669902912;0.07688343152305825;0.1941747572815534;1648
2019-02-01;indep;0.7962184873949579;0.10975081936274515;0.3172268907563025;1428
2019-02-01;opos;0.16132264529058116;0.20885049408817627;0.3997995991983968;998
2019-03-01;coal;0.9707317073170731;0.042920334086304;0.09606003752345216;2665
2019-03-01;indep;0.897851819377466;0.02662069084612022;0.12932924156071898;2281
2019-03-01;opos;0.5067319461444308;0.039722252178702525;0.17074663402692777;1634
2019-04-01;coal;1.0;0.010462002307692111;0.11538461538461539;26
2019-04-01;indep;0.9090909090909091;0.07065350681818193;0.22727272727272727;22
2019-04-01;opos;0.1111111111111111;0.08869996999999984;0.2777777777777778;18
2019-05-01;coal;0.9397182093811307;0.10490770113964691;0.16301052256108436;5607
2019-05-01;indep;0.8650348079946104;0.1776031411857174;0.2229957332135639;4453
2019-05-01;opos;0.18617541571568308;0.11345035906423209;0.2830127160091294;3067
2019-06-01;coal;0.7855822550831792;0.2208055209488602;0.2501540357362908;1623
2019-06-01;indep;0.7909774436090226;0.3985070564210526;0.32781954887218046;1330
2019-06-01;opos;0.6240276577355229;0.3226952961884184;0.3543647363872083;1157
2019-07-01;coal;0.9552622557422009;1.0943889013507029;0.3469317792252314;5834
2019-07-01;indep;0.8895856662933931;1.6341693507547592;0.49496080627099664;4465
2019-07-01;opos;0.34716679968076614;1.652605600340516;0.5238095238095238;3759
2019-08-01;coal;0.9572805418077625;0.9594408851771294;0.3258661109663975;7678
2019-08-01;indep;0.8991345866905401;1.406508630616234;0.47552969262906597;6702
2019-08-01;opos;0.3378459088194306;1.325523449673502;0.5008958789567988;5023
2019-09-01;coal;0.7426865671641791;0.49892194728955214;0.262089552238806;1675
2019-09-01;indep;0.6927645788336934;0.6493211788930885;0.39470842332613393;1852
2019-09-01;opos;0.3696128560993426;0.5953702812125642;0.48867786705624544;1369
2019-10-01;coal;0.9681245366938473;0.5739392438472943;0.27020014825796884;2698
2019-10-01;indep;0.9482758620689655;0.9405919300629971;0.41744031830238726;3016
2019-10-01;opos;0.527831094049904;1.0165363509069099;0.48272552783109407;2084
2019-11-01;coal;0.8973300302780072;0.7108717852793834;0.3074593999449491;3633
2019-11-01;indep;0.8352357320099255;0.8400196172928038;0.4464019851116625;4030
2019-11-01;opos;0.3786618444846293;1.1270917528318265;0.5265822784810127;2765
2019-12-01;coal;0.8954694323144105;1.207559923400655;0.2923034934497817;3664
2019-12-01;indep;0.8309292977063135;1.4844591828753844;0.44218491369117996;4229
2019-12-01;opos;0.504062288422478;1.7710501049830738;0.4969532836831415;2954
2020-02-01;coal;0.9840933191940615;0.508809052545069;0.30116648992576883;1886
2020-02-01;indep;0.9352207293666027;0.8276065303982727;0.4611324376199616;2084
2020-02-01;opos;0.48379970544919;1.1108154055964654;0.4948453608247423;1358
2020-03-01;coal;0.9942528735632183;0.47583884540229887;0.5862068965517241;174
2020-03-01;indep;0.989247311827957;0.38228419548387105;0.6021505376344086;186
2020-03-01;opos;1.0;0.29556966944881885;0.5669291338582677;127
2020-04-01;coal;0.8229138717467132;2.871503580265629;0.90045613093641;3727
2020-04-01;indep;0.7728805394990366;3.231599077271195;0.9373795761078998;4152
2020-04-01;opos;0.3944610778443114;2.2986600069872756;0.9277694610778443;2672
2020-05-01;coal;0.9131445170660857;4.365777081391431;0.9347857661583152;6885
2020-05-01;indep;0.8717175301632364;4.247204166584457;0.9618523775727467;5636
2020-05-01;opos;0.4294732688893273;3.4941463116255673;0.985598737423555;5069
2020-06-01;coal;0.924118353532045;3.4277499126629545;0.9007533573534229;9159
2020-06-01;indep;0.8330296720458095;3.381753530110619;0.937532535137949;7684
2020-06-01;opos;0.21457891012031138;3.615523144142958;0.9677282377919321;7065
2020-07-01;coal;0.8955296404275996;2.65256201531827;0.8780369290573372;8232
2020-07-01;indep;0.848458904109589;2.6162161392865295;0.9439212328767124;7008
2020-07-01;opos;0.4006859993763642;2.893840202617711;0.9725600249454319;6414
2020-08-01;coal;0.9207920792079208;1.3376851396110323;0.8458274398868458;2828
2020-08-01;indep;0.8137462876537972;1.5001332328722952;0.9126007636826474;2357
2020-08-01;opos;0.3701550387596899;1.6379580428439922;0.9656007751937985;2064
2020-09-01;coal;0.9698005698005698;0.6944404930940171;0.807977207977208;1755
2020-09-01;indep;0.8903010033444816;0.9258585484280937;0.8441471571906355;1495
2020-09-01;opos;0.3086510263929619;0.9825470237463345;0.9391495601173021;1364
2020-11-01;coal;0.9917898193760263;0.48330956307060774;0.7077175697865353;609
2020-11-01;indep;0.9923664122137404;0.7844053587404582;0.8148854961832062;524
2020-11-01;opos;0.90625;0.8006442806249999;0.8671875;128
2020-12-01;coal;0.9414574597951276;0.8488579070898572;0.8146064433947243;18841
2020-12-01;indep;0.8720631424375918;1.2050455475874937;0.8704111600587372;16344
2020-12-01;opos;0.44840142742699;1.1382138060753042;0.9016823246668123;13731
2021-02-01;coal;0.9813060179257362;0.7019748950601794;0.7884763124199744;3905
2021-02-01;indep;0.92970946579194;0.844691815907529;0.8259918775382693;3201
2021-02-01;opos;0.43052208835341366;1.3121937168514057;0.9008032128514056;2490
2021-03-01;coal;0.9267325061196927;0.0;0.0;11847
2021-03-01;indep;0.8547017618340055;0.0;0.0;9422
2021-03-01;opos;0.3420885674406801;0.0;0.0;7881
2021-04-01;coal;0.9488830750654055;0.0;0.0;4969
2021-04-01;indep;0.8704433497536945;0.0;0.0;4060
2021-04-01;opos;0.3267272226809799;0.0;0.0;3633
2021-05-01;coal;0.9332529151588259;0.0;0.0;17409
2021-05-01;indep;0.8416436464088398;1.7538122928176512e-05;0.0004834254143646409;14480
2021-05-01;opos;0.2520934683786586;0.0;0.0;12539
2021-06-01;coal;0.908608233962921;0.41131528236225945;0.2209939942553747;11489
2021-06-01;indep;0.8558760683760683;0.3853313489444445;0.2439102564102564;9360
2021-06-01;opos;0.457167090754877;0.3736578637646916;0.2076820550102993;8253
2021-07-01;coal;0.883128295254833;3.567946384407733;0.9221441124780316;5690
2021-07-01;indep;0.8484783077919275;3.229615938389812;0.9281243254910425;4633
2021-07-01;opos;0.5530160226201697;2.9560216964396795;0.909990574929312;4244
2021-08-01;coal;0.8906731549067316;4.676834011416869;0.9321978913219789;12330
2021-08-01;indep;0.8207934336525308;4.523038443609537;0.9374633574359976;10234
2021-08-01;opos;0.3138562506615857;4.001696624563353;0.9721604742246216;9447
2021-09-01;coal;0.8977469670710572;2.546312788431033;0.8996839637067999;9809
2021-09-01;indep;0.859504132231405;2.830416063785853;0.9032571706368497;8228
2021-09-01;opos;0.5299892415277031;2.7666832591931145;0.9809037116729424;7436
2021-10-01;coal;0.816746235769372;1.793615292866324;0.8591626882115314;5446
2021-10-01;indep;0.7730417317563044;2.0395129772706984;0.874804731086811;4481
2021-10-01;opos;0.3908833254605574;2.505533833438828;0.9652810581010864;4234
2021-11-01;coal;0.9358306926210955;0.9942359118005886;0.8172249886826618;8836
2021-11-01;indep;0.8126633749636945;1.0257204499767643;0.894423467905896;6886
2021-11-01;opos;0.35800677310111273;1.2769724991936782;0.9250120948234156;6201
2021-12-01;coal;0.9071446668355713;1.1516832308044083;0.8372181403597669;7894
