idLegislatura;mes;align_mean;pol_simple_mean;pol_jaccard_mean;pol_paper_euc;n
55;2015-02-01;0.770941438102298;0.12650763324194245;0.1328369796609483;54.29272832200511;1349
55;2015-03-01;0.6682749203459263;0.304173942483347;0.311377388573512;56.02194072116371;10985
55;2015-04-01;0.4797538705835649;0.2184598848758636;0.2213288840918318;55.48834144589442;5038
55;2015-05-01;0.6145118441443436;0.559236515040555;0.6130601822780745;52.99630898998068;18068
55;2015-06-01;0.6439144736842105;0.45134831836147976;0.4615469382889448;52.13688445881277;9728
55;2015-07-01;0.5193655477683512;0.06585166897752787;0.07740050289128284;47.16494761741943;2711
55;2015-08-01;0.6011467032282188;0.18539447449910737;0.20267873988509746;39.871443604736264;8023
55;2015-09-01;0.7693780868864026;0.19920181242476984;0.20646509563925844;40.32314903080852;9921
55;2015-10-01;0.6887623944179214;0.4844862794561287;0.5508090376015128;40.168951021945816;5446
55;2015-11-01;0.6496411109955269;0.4153993855246178;0.6171599556956392;42.64039579818476;9613
55;2015-12-01;0.9609375;0.037264010576276756;0.07651705173048601;44.473691737577155;768
55;2016-02-01;0.6628889346795797;0.30563589515918854;0.49504718442498724;46.79659330479913;4853
55;2016-03-01;0.6653497559841971;0.3232278676496903;0.5461525927799293;43.898137385426345;4303
55;2016-04-01;0.5064748201438849;0.09988525752090657;0.5255168173869671;43.915800187719725;695
55;2016-05-01;0.9268026787104813;0.1126815766527331;0.2316938168614756;45.59084180555413;6421
55;2016-06-01;0.7792400065800296;0.7041752067895608;0.8399403712141821;46.209547025906524;6079
55;2016-07-01;0.7783155856727977;0.5380477986851718;0.6956367189256562;45.83617808656066;2066
55;2016-08-01;0.7497683039851715;0.386790319091115;0.8327345886060145;43.70571612427157;6474
55;2016-10-01;0.7839274759730079;0.5159899810512087;0.8295526057834681;39.5460015736773;14671
55;2016-11-01;0.8214397988054071;0.5530179646993678;0.560062418338623;33.48824126787392;3181
55;2016-12-01;0.6968581246931762;0.5407859494929204;0.7560639560859744;33.06026087046565;4074
55;2017-02-01;0.7512919896640827;0.45838504698708293;0.4662059678907901;33.27987198362689;1548
