model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;group;category
PLIV_FE_cluster;backlog;0.00335;0.035432;0.1603;-3.163;3.4836;0.924667;;42893;128;102;2.089701;freshman_1leg_leg55;H_Seniority
PLIV_FE_cluster;backlog;-0.027523;0.016826;-1.1508;-2.5298;0.2281;0.101897;;159795;159;118;2.391545;freshman_1leg_leg56;H_Seniority
PLIV_FE_cluster;backlog;-0.061891;0.018176;-2.4819;-3.9105;-1.0533;0.000661;***;414618;404;131;2.493675;mid_2-3leg_legall;H_Seniority
PLIV_FE_cluster;backlog;0.008703;0.03029;0.355;-2.0668;2.7768;0.773864;;94107;256;105;2.45139;mid_2-3leg_leg55;H_Seniority
PLIV_FE_cluster;backlog;-0.032548;0.009162;-1.308;-2.0296;-0.5864;0.000381;***;320511;283;123;2.488369;mid_2-3leg_leg56;H_Seniority
PLIV_FE_cluster;backlog;-0.145556;0.02906;-5.9512;-8.2799;-3.6224;1e-06;***;252596;240;139;2.445845;senior_4plus_legall;H_Seniority
PLIV_FE_cluster;backlog;0.111853;0.025883;4.575;2.5;6.65;1.6e-05;***;89308;230;113;2.444893;senior_4plus_leg55;H_Seniority
PLIV_FE_cluster;backlog;-0.004009;0.009052;-0.1659;-0.9003;0.5685;0.657891;;163288;155;128;2.415949;senior_4plus_leg56;H_Seniority
PLIV_FE_cluster;backlog;-0.069423;0.011858;-2.8421;-3.7935;-1.8906;0.0;***;869902;931;142;2.442717;mesa_no_legall;I_Mesa
PLIV_FE_cluster;backlog;0.046461;0.017502;1.9485;0.5098;3.3872;0.007942;***;226308;614;116;2.38442;mesa_no_leg55;I_Mesa
PLIV_FE_cluster;backlog;-0.023008;0.005327;-0.9405;-1.3673;-0.5137;1.6e-05;***;643594;597;132;2.446335;mesa_no_leg56;I_Mesa
