outcome;cate_pp;pol_euclidean;pol_forte;pol_fraca
gov;6.048229748152126;101.4410907087327;4.585218225538939;0.2741250065232457
gov;5.479718109437104;33.27987198362689;3.1323851497998367;0.2342223026351156
gov;0.5886242823059363;65.55038587039726;3.645976688190957;0.2004188789099956
gov;66.26722918561958;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-3.9000280159274694;80.4131966383154;4.4180256001733476;0.2505297128997232
gov;-1.9783234189387746;101.4410907087327;4.585218225538939;0.2741250065232457
gov;-54.21075887596339;102.12163781779304;4.636528074021251;0.3051208869444385
gov;-71.28296057274946;102.12163781779304;4.636528074021251;0.3051208869444385
gov;3.245913881146874;27.463661873308748;3.6538962310278538;0.1603846430757785
gov;0.7208439634978081;65.18917096162046;3.6160459665993057;0.203408350798829
gov;-39.78389565260968;126.78794529743702;4.81298968357993;0.3020127594277212
gov;-3.2174896781535898;92.9064226868247;4.1928201640977;0.2614866118999204
gov;7.717609697067829;129.69091067923335;4.745785565727982;0.3044563791405524
gov;-6.013956404903276;126.78794529743702;4.81298968357993;0.3020127594277212
gov;0.13123984384997567;101.4410907087327;4.585218225538939;0.2741250065232457
gov;181.637508954147;92.9064226868247;4.1928201640977;0.2614866118999204
gov;2.178259829058038;92.9064226868247;4.1928201640977;0.2614866118999204
gov;9.32019160006982;45.83617808656066;3.7408802931724647;0.2450948200420892
gov;-2.5832655530465125;101.4410907087327;4.585218225538939;0.2741250065232457
gov;9.680431537098414;92.9064226868247;4.1928201640977;0.2614866118999204
gov;820.7916518075879;117.01246948017184;4.797809337609697;0.2922744106565197
gov;5.351286021738455;78.21017431224871;3.9574170188371656;0.2115905976923778
gov;-23.657671105423177;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-0.30693416481024915;83.71525962501696;4.5768372919269575;0.2660585043246463
gov;-0.11607148906231934;129.69091067923335;4.745785565727982;0.3044563791405524
gov;-0.8894848439764624;89.69730903671581;4.504268166457399;0.2910497881932392
gov;7.0827283432552495;89.65761335242998;4.460322935251162;0.2987195881998073
gov;-2.7017138000637373;100.91890649916722;4.407265712982626;0.2962750919945573
gov;23.386285261954676;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-25.560332381293716;129.69091067923335;4.745785565727982;0.3044563791405524
gov;-6.650515767171372;92.9064226868247;4.1928201640977;0.2614866118999204
gov;-3.7229009411089384;82.2321098373115;4.345488777622322;0.2399380929110812
gov;-10.777927947104637;92.9064226868247;4.1928201640977;0.2614866118999204
gov;8.873033606975655;31.925317493275852;4.222131201709505;0.2744271534117612
gov;6.409345118794074;31.925317493275852;4.222131201709505;0.2744271534117612
gov;0.49805856107396873;92.9064226868247;4.1928201640977;0.2614866118999204
