sample;outcome;cate_pp;pol_euclidean;pol_forte;pol_fraca
leg55;gov;8.793335979269594;45.83617808656066;3.7408802931724647;0.2450948200420892
leg55;gov;31.37645761169152;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;0.9793361707455359;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;2.1296918254593766;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;8.51703179107032;43.70571612427157;3.613304862437544;0.2401808834164391
leg55;gov;6.400516779408457;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;4.609056872886269;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;3.7708878652192745;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;15.21933596217635;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;7.022393823130374;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;24.59153179611627;42.64039579818476;3.03638381481685;0.2285669193475533
leg55;gov;-7.955399837864509;43.70571612427157;3.613304862437544;0.2401808834164391
leg55;gov;20.839489383390607;26.95172963067745;4.822788263921042;0.209397118427827
leg55;gov;4.680333954195056;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;4.736701737622195;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;-2.313430272999617;40.168951021945816;2.9635704226738167;0.255833314435937
leg55;gov;-7.955399837864509;45.59084180555413;3.908909953758283;0.2478525900732655
leg55;gov;36.71831634408418;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;-7.955399837864509;33.06026087046565;3.0314293283225693;0.2420019422247773
leg55;gov;-4.287463615451936;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;6.377070646503569;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;13.206316603228249;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;8.312856166175244;46.20954702590653;3.7659178497791848;0.2513400599802654
leg55;gov;30.456209045453132;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;5.7079627959081485;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;1.8991820442673102;43.70571612427157;3.613304862437544;0.2401808834164391
leg55;gov;27.44746533580562;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;2.3107548709128207;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;-1.2080783940977835;55.48834144589442;3.710991118966183;0.2908135880559679
leg55;gov;13.787882120673103;28.023437265771776;4.689242187692357;0.2256896818624863
leg55;gov;-7.955399837864509;45.59084180555413;3.908909953758283;0.2478525900732655
leg55;gov;16.431714072075078;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;4.821444432583458;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;4.5181569075432195;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;0.015952700305038592;45.59084180555413;3.908909953758283;0.2478525900732655
leg55;gov;38.86679156675579;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;-3.9553543934991886;42.64039579818476;3.03638381481685;0.2285669193475533
leg55;gov;5.74390340334073;32.48065930131713;5.403455194233989;0.3037898948166526
leg55;gov;12.957706005090175;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;32.204795026140474;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;6.18229262657388;43.70571612427157;3.613304862437544;0.2401808834164391
leg55;gov;9.74703981955285;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;59.51412196071389;26.680710885380226;3.199352793184256;0.1640840656140607
leg55;gov;-7.955399837864509;33.06026087046565;3.0314293283225693;0.2420019422247773
leg55;gov;40.386546599583035;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;34.15551895589213;26.54445037253096;3.758503490866562;0.1794981198542411
leg55;gov;4.785962059509686;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;5.088500963591411;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;27.11693675262229;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;5.844405484222285;39.871443604736264;2.9884139520287616;0.2651799093155613
leg55;gov;35.80899293363509;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;5.702265845474708;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;-3.20660856626942;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;21.299738473337186;26.95172963067745;4.822788263921042;0.209397118427827
leg55;gov;2.336859922088999;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;3.6944912373711185;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;13.476893035911996;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;5.919868571501776;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;33.31723939291581;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;5.298530250142797;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;6.977126143907819;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;28.904635408431727;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;4.63017978077267;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;6.721029250975624;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;6.438170984078995;39.871443604736264;2.9884139520287616;0.2651799093155613
leg55;gov;6.056547483591245;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;-7.955399837864509;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;15.350068109840809;32.42539255313182;4.917779070675269;0.2517020976066502
leg55;gov;-2.84872630385572;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;59.51412196071389;26.54445037253096;3.758503490866562;0.1794981198542411
leg55;gov;5.686694024228273;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;-7.955399837864509;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;28.68869374548008;26.95172963067745;4.822788263921042;0.209397118427827
leg55;gov;7.0616654715855764;32.48065930131713;5.403455194233989;0.3037898948166526
leg55;gov;47.64202883886974;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;5.980147865910173;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;8.558009402686444;43.70571612427157;3.613304862437544;0.2401808834164391
leg55;gov;2.1084613663678002;40.168951021945816;2.9635704226738167;0.255833314435937
leg55;gov;5.282455012233964;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;52.79939896764094;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;9.494932108959308;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;8.884612469415085;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;4.993198099514473;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;6.5366416407910926;46.20954702590653;3.7659178497791848;0.2513400599802654
leg55;gov;22.754420377265667;26.54445037253096;3.758503490866562;0.1794981198542411
leg55;gov;6.590099544618644;39.871443604736264;2.9884139520287616;0.2651799093155613
leg55;gov;4.8446116218214295;33.27987198362689;3.1323851497998367;0.2342223026351156
leg55;gov;39.48584988757663;27.463661873308748;3.6538962310278538;0.1603846430757785
leg55;gov;31.482865385163194;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;-3.480436086944727;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;6.599857874550564;32.42539255313182;4.917779070675269;0.2517020976066502
leg55;gov;0.02213690352794312;45.59084180555413;3.908909953758283;0.2478525900732655
leg55;gov;33.39261123551535;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;33.35318540213905;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;0.3714567606909455;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;5.247227877830185;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;25.569771480124892;33.27987198362689;3.1323851497998367;0.2342223026351156
leg55;gov;51.010204319992866;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;5.625053585116854;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;4.187044072540718;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;44.8461910107309;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;59.51412196071389;43.898137385426345;3.4368982760242246;0.2053141963001402
leg55;gov;59.51412196071389;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;33.28189681675509;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;4.792049756200662;42.64039579818476;3.03638381481685;0.2285669193475533
leg55;gov;22.811051368082655;26.95172963067745;4.822788263921042;0.209397118427827
leg55;gov;5.8307806845173475;39.871443604736264;2.9884139520287616;0.2651799093155613
leg55;gov;37.69229076712017;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;5.22725088077877;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;4.909407972421237;39.871443604736264;2.9884139520287616;0.2651799093155613
leg55;gov;-3.451322222564146;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;9.175850473499239;28.023437265771776;4.689242187692357;0.2256896818624863
leg55;gov;-7.955399837864509;46.20954702590653;3.7659178497791848;0.2513400599802654
leg55;gov;-4.612225733619613;43.70571612427157;3.613304862437544;0.2401808834164391
leg55;gov;5.4467606014513255;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;24.942068788557066;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;4.563995434933155;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;-3.1064923549964485;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;43.49122844477704;46.79659330479913;3.779494316020653;0.2111234926773145
leg55;gov;8.831053735460918;46.20954702590653;3.7659178497791848;0.2513400599802654
leg55;gov;0.676221081200179;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;-7.955399837864509;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;28.464201309884697;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;6.869446249764552;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;59.51412196071389;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;6.569238524037872;45.83617808656066;3.7408802931724647;0.2450948200420892
leg55;gov;37.570485053527186;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;4.899889432740717;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;5.173511237992507;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;8.17458437613176;46.20954702590653;3.7659178497791848;0.2513400599802654
leg55;gov;13.10978725823492;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;-3.400518420310708;26.95172963067745;4.822788263921042;0.209397118427827
leg55;gov;5.5146574807884265;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;-6.825205674463492;33.06026087046565;3.0314293283225693;0.2420019422247773
leg55;gov;-7.955399837864509;46.20954702590653;3.7659178497791848;0.2513400599802654
leg55;gov;5.00728643769392;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;5.293236708275698;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;42.79090083166874;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;6.340071013115475;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;4.147704688090603;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;6.101725317404494;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;4.2386331879830355;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;5.499542008335556;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;4.963267793986661;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;-7.871177405307934;31.974711933225777;3.164140040081;0.2346601564288833
leg55;gov;5.7380781886581635;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;5.246475857064789;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;-2.304555937808353;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;5.285956410331136;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;4.731223063219103;40.168951021945816;2.9635704226738167;0.255833314435937
leg55;gov;5.137806056608957;39.871443604736264;2.9884139520287616;0.2651799093155613
leg55;gov;5.670114099703893;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;6.406449517860191;40.168951021945816;2.9635704226738167;0.255833314435937
leg55;gov;-2.5179227671650817;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;6.720090312309268;32.42539255313182;4.917779070675269;0.2517020976066502
leg55;gov;59.51412196071389;43.898137385426345;3.4368982760242246;0.2053141963001402
leg55;gov;25.572074545703867;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;0.11710022762995709;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;4.535058057225805;40.32314903080852;3.193243879545596;0.2631237430114718
leg55;gov;-7.955399837864509;33.06026087046565;3.0314293283225693;0.2420019422247773
leg55;gov;18.42622199228781;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;-2.052105341793684;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;4.508458453139308;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;8.904483056340373;43.70571612427157;3.613304862437544;0.2401808834164391
leg55;gov;4.690827612033449;42.64039579818476;3.03638381481685;0.2285669193475533
leg55;gov;7.205320979943572;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;5.740874760238198;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;8.53230901768982;31.974711933225777;3.164140040081;0.2346601564288833
leg55;gov;6.293100161284458;46.20954702590653;3.7659178497791848;0.2513400599802654
leg55;gov;4.173460267140339;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;4.922842649998749;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;4.7906379988837235;40.168951021945816;2.9635704226738167;0.255833314435937
leg55;gov;20.52583247883446;43.915800187719725;3.744813648827477;0.2202342035034508
leg55;gov;9.559552688898584;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;59.51412196071389;43.898137385426345;3.4368982760242246;0.2053141963001402
leg55;gov;3.2433150966119846;45.59084180555413;3.908909953758283;0.2478525900732655
leg55;gov;1.453211429333856;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;31.046566105766882;42.64039579818476;3.03638381481685;0.2285669193475533
leg55;gov;-6.813115320105692;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;20.88146429551574;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;10.503320678528755;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;9.81123609183042;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;5.439668954065091;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;5.377000551502608;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;6.741732181207754;42.64039579818476;3.03638381481685;0.2285669193475533
leg55;gov;40.45104501202271;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;-1.6652930278485203;32.42539255313182;4.917779070675269;0.2517020976066502
leg55;gov;-7.955399837864509;45.59084180555413;3.908909953758283;0.2478525900732655
leg55;gov;16.19190932172433;26.54445037253096;3.758503490866562;0.1794981198542411
leg55;gov;-7.955399837864509;33.06026087046565;3.0314293283225693;0.2420019422247773
leg55;gov;-3.3682656351076146;42.64039579818476;3.03638381481685;0.2285669193475533
leg55;gov;6.499911766296599;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;5.463736027492353;54.29272832200511;3.505840142201951;0.2830584781617732
leg55;gov;44.93124695154609;30.366652169010568;3.2548253255820567;0.2112901098573518
leg55;gov;31.599345423722347;31.253976817906004;3.031570577417947;0.1892259334761218
leg55;gov;5.785296496968584;52.13688445881277;3.488373988402257;0.2857690620046695
leg55;gov;4.712993808430332;56.02194072116371;3.66041324380981;0.2937855697418478
leg55;gov;-7.343911917402391;39.5460015736773;3.5793010599337336;0.2347253047781578
leg55;gov;4.26187113824863;52.99630898998068;3.5582055187189026;0.2873934182910207
leg55;gov;5.9036972171467745;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;11.265139421754533;31.925317493275852;4.222131201709505;0.2744271534117612
leg55;gov;1.6641477188680531;56.02194072116371;3.66041324380981;0.2937855697418478
