mes;__status;align_mean;n
2020-02-01;coal;0.9840933191940615;1886
2020-02-01;opos;0.48379970544919;1358
2020-03-01;coal;0.9942528735632183;174
2020-03-01;opos;1.0;127
2020-04-01;coal;0.8229138717467132;3727
2020-04-01;opos;0.3944610778443114;2672
2020-05-01;coal;0.9131445170660857;6885
2020-05-01;opos;0.4294732688893273;5069
2020-06-01;coal;0.924118353532045;9159
2020-06-01;opos;0.21457891012031138;7065
2020-07-01;coal;0.8955296404275996;8232
2020-07-01;opos;0.4006859993763642;6414
2020-08-01;coal;0.9207920792079208;2828
2020-08-01;opos;0.3701550387596899;2064
2020-09-01;coal;0.9698005698005698;1755
2020-09-01;opos;0.3086510263929619;1364
2020-11-01;coal;0.9917898193760263;609
2020-11-01;opos;0.90625;128
2020-12-01;coal;0.9414574597951276;18841
2020-12-01;opos;0.44840142742699;13731
2021-02-01;coal;0.9813060179257362;3905
2021-02-01;opos;0.43052208835341366;2490
2021-03-01;coal;0.9267325061196927;11847
2021-03-01;opos;0.3420885674406801;7881
2021-04-01;coal;0.9488830750654055;4969
2021-04-01;opos;0.3267272226809799;3633
2021-05-01;coal;0.9332529151588259;17409
2021-05-01;opos;0.2520934683786586;12539
2021-06-01;coal;0.908608233962921;11489
2021-06-01;opos;0.457167090754877;8253
2021-07-01;coal;0.883128295254833;5690
2021-07-01;opos;0.5530160226201697;4244
2021-08-01;coal;0.8906731549067316;12330
2021-08-01;opos;0.3138562506615857;9447
2021-09-01;coal;0.8977469670710572;9809
2021-09-01;opos;0.5299892415277031;7436
2021-10-01;coal;0.816746235769372;5446
2021-10-01;opos;0.3908833254605574;4234
2021-11-01;coal;0.9358306926210955;8836
2021-11-01;opos;0.35800677310111273;6201
2021-12-01;coal;0.9071446668355713;7894
2021-12-01;opos;0.43832915023305846;5578
2022-02-01;coal;0.87283107578641;8933
2022-02-01;opos;0.3291221250404924;6174
2022-03-01;coal;0.9032680809239086;12209
2022-03-01;opos;0.3899020601148261;5922
2022-04-01;coal;0.9188325342753806;11889
2022-04-01;opos;0.3448594674556213;5408
2022-05-01;coal;0.8818675107393172;17692
2022-05-01;opos;0.3118306044564816;8123
2022-06-01;coal;0.9396959880388737;8026
2022-06-01;opos;0.33268644302744665;3607
2022-07-01;coal;0.9217682128835248;6877
2022-07-01;opos;0.46708683473389356;2856
2022-08-01;coal;0.9160691303548446;10878
2022-08-01;opos;0.2835997631734754;5067
2022-09-01;coal;1.0;3
2022-10-01;coal;0.9302870533099004;1707
2022-10-01;opos;0.2657601977750309;809
2022-11-01;coal;0.8805184285135682;4938
2022-11-01;opos;0.4591792656587473;2315
2022-12-01;coal;0.8006126427179059;3591
2022-12-01;opos;0.5932494279176201;1748
2023-03-01;coal;0.8802228412256268;1795
2023-03-01;opos;0.6318036286019211;937
2023-04-01;coal;0.7123543123543123;2145
2023-04-01;opos;0.3307291666666667;1152
2023-05-01;coal;0.7491275301625286;10029
2023-05-01;opos;0.3595856947430135;5117
2023-06-01;coal;0.8215189873417722;790
2023-06-01;opos;0.6834061135371179;458
2023-07-01;coal;0.885361298663985;6961
2023-07-01;opos;0.44559585492227977;3474
2023-08-01;coal;0.9020472440944882;6350
2023-08-01;opos;0.676002358490566;3392
2023-09-01;coal;0.8897547994677818;5261
2023-09-01;opos;0.537402307406029;2687
2023-10-01;coal;0.8707474226804124;7760
2023-10-01;opos;0.43769551616266944;3836
2023-11-01;coal;0.8258611262985238;7316
2023-11-01;opos;0.5181560648982745;3883
2023-12-01;coal;0.8434782608695652;14950
2023-12-01;opos;0.4869942196531792;7612
2024-02-01;coal;0.905558553696708;1853
2024-02-01;opos;0.6264428121720882;953
2024-03-01;coal;0.8774590163934426;7320
2024-03-01;opos;0.5499465811965812;3744
2024-04-01;coal;0.7678821879382889;2852
2024-04-01;opos;0.3783117683302526;1623
2024-05-01;coal;0.6507473143390938;8564
2024-05-01;opos;0.32861952861952864;4455
2024-06-01;coal;0.8889632107023412;1495
2024-06-01;opos;0.5755813953488372;860
2024-07-01;coal;0.8554847519344561;4394
2024-07-01;opos;0.6501736111111112;2304
2024-08-01;coal;0.7244241543888773;4819
2024-08-01;opos;0.4303697875688434;2542
2024-09-01;coal;0.9044558071585098;6845
2024-09-01;opos;0.4618401206636501;3315
2024-10-01;coal;0.7401544401544402;2590
2024-10-01;opos;0.29977957384276266;1361
2024-11-01;coal;0.8808887403942532;5986
2024-11-01;opos;0.5378835316217908;3194
2024-12-01;coal;0.8233423048690971;12261
2024-12-01;opos;0.45930232558139533;6192
2025-02-01;coal;0.8694690265486725;2712
2025-02-01;opos;0.6182719546742209;1412
2025-03-01;coal;0.9161786237188873;2732
2025-03-01;opos;0.6766519823788546;1135
2025-04-01;coal;0.9142567224759005;1971
2025-04-01;opos;0.5220338983050847;885
