bucket;control;corr_T;corr_Y;max_abs_corr_Z;corr_iv_fiscal_q4;corr_iv_fiscal_pressure;corr_iv_q4_no_ytd;corr_iv_ytd_exec_pct
08_d_tema;d_tema_DDC;0.0266;0.0009;0.0224;-0.0224;-0.0162;-0.008;0.0085
16_d_N_part_leg;d_8_part;-0.0112;-0.009;0.0218;0.0014;-0.0043;0.0029;-0.0218
08_d_tema;d_tema_ERHM;-0.0154;-0.0011;0.0214;-0.0132;-0.0127;-0.0047;0.0214
08_d_tema;d_tema_ICS;-0.0154;-0.0011;0.0214;-0.0132;-0.0127;-0.0047;0.0214
07_d_tipoVotacao;d_tipoVotacao_meta_REM;-0.0237;-0.0119;0.0204;-0.0204;-0.0199;-0.0073;-0.0016
07_d_tipoVotacao;d_tipoVotacao_MSC;0.0064;0.0025;0.0203;-0.0203;-0.0126;-0.0117;-0.0012
16_d_N_part_leg;d_2_part;0.0039;0.302;0.0202;-0.0026;-0.0062;-0.0035;0.0202
08_d_tema;d_tema_DCPC;-0.0053;0.0055;0.0199;-0.0102;-0.0049;-0.0037;-0.0199
01_d_ori_gov;d_ori_gov_obstrucao;-0.0189;-0.0292;0.0187;-0.0187;-0.0183;-0.0067;-0.0114
17_idade;idade2;0.0001;-0.0047;0.0187;0.0063;-0.0187;-0.0131;-0.0136
17_idade;idade;0.003;-0.0078;0.0187;0.0062;-0.0187;-0.0154;-0.0093
12_d_uf_reg;d_reg_S;0.0048;0.0298;0.0186;0.0027;0.0041;-0.0026;0.0186
16_d_N_part_leg;d_7_leg;0.0061;-0.0033;0.0178;-0.0006;-0.005;-0.0178;0.006
16_d_N_part_leg;d_10_leg;-0.0031;-0.0103;0.0176;0.0014;-0.0063;-0.0003;-0.0176
07_d_tipoVotacao;d_tipoVotacao_meta_PES;-0.004;0.0012;0.0174;0.0099;0.0174;-0.0015;0.0086
14_d_demograficas;d_oposicao;-0.0057;-0.4948;0.0166;-0.0011;0.0125;-0.0119;-0.0166
11_d_escolaridade;d_niv_esc_1;-0.0095;0.0081;0.0162;-0.0011;-0.0056;0.0019;-0.0162
12_d_uf_reg;d_reg_CO;-0.0118;0.0198;0.016;0.0038;0.0024;0.013;-0.016
16_d_N_part_leg;d_4_part;0.0029;0.0848;0.016;-0.0016;-0.0116;-0.016;0.0052
16_d_N_part_leg;d_5_part;-0.0036;0.0482;0.0154;-0.0007;-0.0119;-0.0154;-0.0076
16_d_N_part_leg;d_6_part;0.0015;0.031;0.0138;0.0014;-0.0034;-0.0138;-0.0027
07_d_tipoVotacao;d_tipoVotacao_meta_CVO;0.01;-0.002;0.0134;-0.0134;-0.0079;-0.0018;0.0031
20_n_aggregates;n_part;0.0015;0.215;0.0133;-0.0012;-0.0112;-0.0133;0.0072
08_d_tema;d_tema_APPE;0.0288;-0.001;0.0122;-0.0122;-0.0071;-0.0044;-0.0023
11_d_escolaridade;indice_escolaridade;0.0048;0.0012;0.0116;0.0037;0.0116;-0.0012;0.0098
12_d_uf_reg;d_uf_autor;0.0045;-0.0031;0.0114;0.004;0.0085;-0.0019;0.0114
12_d_uf_reg;d_uf_prop;0.0045;-0.0031;0.0114;0.004;0.0085;-0.0019;0.0114
07_d_tipoVotacao;d_tipoVotacao_RCP;-0.0132;-0.0012;0.0114;-0.0114;-0.011;-0.0041;0.0083
16_d_N_part_leg;d_9_part;-0.0082;-0.0031;0.0113;0.0018;-0.0022;-0.0008;-0.0113
20_n_aggregates;n_frentes;0.0123;-0.0426;0.0111;0.0022;0.008;-0.0111;-0.0032
09_tipoAutor;tipoAutor_COMISSÃO PERMANENTE;0.0235;0.0056;0.0111;-0.0111;-0.0069;-0.004;-0.003
03_d_ori_mai;d_ori_mai_liberado;0.0378;-0.0357;0.0103;0.0057;0.0075;0.0103;0.0066
16_d_N_part_leg;d_7_part;0.0039;0.0011;0.0098;0.002;-0.0034;-0.0034;-0.0098
11_d_escolaridade;d_niv_esc_5;-0.0057;0.0184;0.0093;0.0021;0.0093;0.0053;-0.0042
07_d_tipoVotacao;d_tipoVotacao_meta_PRST;-0.001;0.0002;0.0087;-0.0041;-0.0029;-0.0015;-0.0087
16_d_N_part_leg;d_9_leg;-0.0034;0.0108;0.0079;-0.0018;-0.0069;-0.0079;-0.0061
07_d_tipoVotacao;d_tipoVotacao_meta_VTS;-0.0003;-0.0017;0.0077;-0.0077;-0.0058;-0.0028;-0.0049
16_d_N_part_leg;d_3_part;-0.0004;0.1852;0.0074;-0.0003;-0.0072;-0.0074;0.0041
07_d_tipoVotacao;d_tipoVotacao_SIP;0.0231;0.0029;0.0069;-0.0054;-0.0069;-0.0037;-0.003
02_d_ori_part;d_ori_part_abstencao;-0.002;-0.0028;0.0055;-0.0022;-0.0007;-0.0008;-0.0055
06_d_ori_bancada;d_ori_bancada_abstencao;-0.002;-0.0028;0.0055;-0.0022;-0.0007;-0.0008;-0.0055
14_d_demograficas;d_autor;0.0066;0.0076;0.005;0.0018;0.0013;-0.0018;0.005
14_d_demograficas;d_proponente;0.0066;0.0076;0.005;0.0018;0.0013;-0.0018;0.005
07_d_tipoVotacao;d_tipoVotacao_DCR;-0.0056;-0.0063;0.0048;-0.0048;-0.0045;-0.0017;0.0008
12_d_uf_reg;d_reg_N;-0.0016;0.0252;0.0016;0.0002;0.0006;-0.0016;0.0016
