coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;group;model;iv_set
-0.000366;0.00285;-0.00018459;0.00143562;-0.0185;-0.0366;0.897689;;29512;1.985406;close (<10%);PLR;none
0.021603;0.008405;0.01088102;0.00423324;1.0881;2.1603;0.010159;**;29512;1.985406;close (<10%);PLIV;backlog
0.006627;0.001363;0.00258597;0.00053192;0.2586;0.6627;1e-06;***;108150;2.562637;moderate (10-30%);PLR;none
0.097513;0.009489;0.03805183;0.00370294;3.8052;9.7513;0.0;***;108150;2.562637;moderate (10-30%);PLIV;backlog
-0.000189;0.000429;-7.581e-05;0.00017186;-0.0076;-0.0189;0.659124;;732240;2.495291;lopsided (>=30%);PLR;none
-0.022039;0.003906;-0.00883213;0.00156553;-0.8832;-2.2039;0.0;***;732240;2.495291;lopsided (>=30%);PLIV;backlog
