coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;group;model;iv_set
0.004417;0.001855;0.00266641;0.00111949;0.2666;0.4417;0.017228;**;31438;1.656705;leg55_PLP;PLR;none
0.27689;0.023857;0.16713277;0.01440051;16.7133;27.689;0.0;***;31438;1.656705;leg55_PLP;PLIV;backlog
0.005835;0.001399;0.00168577;0.00040407;0.1686;0.5835;3e-05;***;61729;3.461464;leg55_PL;PLR;none
0.004774;0.008156;0.00137911;0.00235617;0.1379;0.4774;0.558333;;61729;3.461464;leg55_PL;PLIV;backlog
-0.009565;0.001031;-0.00429352;0.00046291;-0.4294;-0.9565;0.0;***;104160;2.227783;leg56_PEC;PLR;none
-0.059074;0.006541;-0.02651695;0.00293609;-2.6517;-5.9074;0.0;***;104160;2.227783;leg56_PEC;PLIV;backlog
-0.002659;0.000717;-0.00104257;0.00028112;-0.1043;-0.2659;0.000208;***;221033;2.550781;leg56_MPV;PLR;none
-0.017677;0.006529;-0.00693009;0.00255955;-0.693;-1.7677;0.006778;***;221033;2.550781;leg56_MPV;PLIV;backlog
0.007571;0.001223;0.00285761;0.00046144;0.2858;0.7571;0.0;***;73559;2.649368;leg56_PLP;PLR;none
-0.06318;0.008124;-0.02384714;0.00306627;-2.3847;-6.318;0.0;***;73559;2.649368;leg56_PLP;PLIV;backlog
-0.000603;0.000754;-0.00023826;0.00029806;-0.0238;-0.0603;0.424081;;229206;2.530244;leg56_PL;PLR;none
-0.011256;0.004824;-0.00444868;0.00190659;-0.4449;-1.1256;0.019632;**;229206;2.530244;leg56_PL;PLIV;backlog
0.010606;0.001223;0.01273884;0.00146907;1.2739;1.0606;0.0;***;81650;0.832592;ano2015;PLR;none
0.011179;0.001251;0.01342692;0.00150262;1.3427;1.1179;0.0;***;81650;0.832592;ano2015;PLIV;backlog
0.010915;0.001565;0.00481141;0.00069;0.4811;1.0915;0.0;***;52817;2.268656;ano2016;PLR;none
0.026959;0.009994;0.01188318;0.00440507;1.1883;2.6959;0.006984;***;52817;2.268656;ano2016;PLIV;backlog
0.00705;0.001385;0.00465011;0.0009132;0.465;0.705;0.0;***;58556;1.516153;ano2017;PLR;none
-0.015233;0.014586;-0.01004716;0.00962049;-1.0047;-1.5233;0.296323;;58556;1.516153;ano2017;PLIV;backlog
-0.003675;0.001999;-0.00090962;0.00049484;-0.091;-0.3675;0.066029;*;33285;4.03977;ano2018;PLR;none
0.024177;0.016057;0.00598479;0.00397469;0.5985;2.4177;0.132138;;33285;4.03977;ano2018;PLIV;backlog
-0.007439;0.001369;-0.00459852;0.00084604;-0.4599;-0.7439;0.0;***;95387;1.61772;ano2019;PLR;none
0.008688;0.004423;0.00537079;0.00273387;0.5371;0.8688;0.049468;**;95387;1.61772;ano2019;PLIV;backlog
-0.006843;0.000909;-0.0030954;0.0004112;-0.3095;-0.6843;0.0;***;141558;2.210611;ano2020;PLR;none
-0.057346;0.006362;-0.02594137;0.00287801;-2.5941;-5.7346;0.0;***;141558;2.210611;ano2020;PLIV;backlog
-0.003503;0.000749;-0.0016037;0.00034279;-0.1604;-0.3503;3e-06;***;252796;2.184126;ano2021;PLR;none
-0.02537;0.004082;-0.01161565;0.00186878;-1.1616;-2.537;0.0;***;252796;2.184126;ano2021;PLIV;backlog
0.004227;0.000868;0.00128727;0.00026419;0.1287;0.4227;1e-06;***;153853;3.283666;ano2022;PLR;none
-0.040243;0.015616;-0.01225553;0.00475563;-1.2256;-4.0243;0.009964;***;153853;3.283666;ano2022;PLIV;backlog
0.001512;0.0004;0.00061906;0.00016389;0.0619;0.1512;0.000159;***;444674;2.442058;all_ori_Sim;PLR;none
-0.019217;0.004389;-0.00786931;0.00179711;-0.7869;-1.9217;1.2e-05;***;444674;2.442058;all_ori_Sim;PLIV;backlog
0.003458;0.000751;0.0014833;0.00032224;0.1483;0.3458;4e-06;***;121722;2.331526;leg55_ori_Sim;PLR;none
-0.01371;0.004495;-0.00588041;0.00192795;-0.588;-1.371;0.002288;***;121722;2.331526;leg55_ori_Sim;PLIV;backlog
-0.000505;0.000433;-0.00020472;0.00017532;-0.0205;-0.0505;0.242913;;322952;2.468649;leg56_ori_Sim;PLR;none
-0.018245;0.003231;-0.00739088;0.00130897;-0.7391;-1.8245;0.0;***;322952;2.468649;leg56_ori_Sim;PLIV;backlog
0.000411;0.000461;0.00016167;0.00018161;0.0162;0.0411;0.373361;;424258;2.540996;all_ori_Nao;PLR;none
-0.054819;0.004991;-0.02157386;0.00196424;-2.1574;-5.4819;0.0;***;424258;2.540996;all_ori_Nao;PLIV;backlog
0.004778;0.000934;0.00185746;0.00036319;0.1857;0.4778;0.0;***;103643;2.572554;leg55_ori_Nao;PLR;none
0.001504;0.005552;0.00058473;0.00215815;0.0585;0.1504;0.786439;;103643;2.572554;leg55_ori_Nao;PLIV;backlog
-0.001416;0.000497;-0.00056104;0.00019694;-0.0561;-0.1416;0.00439;***;320615;2.523714;leg56_ori_Nao;PLR;none
-0.025733;0.00395;-0.01019654;0.0015653;-1.0197;-2.5733;0.0;***;320615;2.523714;leg56_ori_Nao;PLIV;backlog
-0.000539;0.000843;-0.00173779;0.00271653;-0.1738;-0.0539;0.522362;;167268;0.310285;all_T_low;PLR;none
0.076932;0.012373;0.24794154;0.03987789;24.7942;7.6932;0.0;***;167268;0.310285;all_T_low;PLIV;backlog
-0.0059;0.000869;-0.0083676;0.00123307;-0.8368;-0.59;0.0;***;167258;0.705091;all_T_mid;PLR;none
-0.037571;0.006452;-0.0532851;0.00915073;-5.3285;-3.7571;0.0;***;167258;0.705091;all_T_mid;PLIV;backlog
0.008329;0.000898;0.00363466;0.00039184;0.3635;0.8329;0.0;***;167250;2.291539;all_T_high;PLR;none
0.018856;0.002127;0.00822862;0.00092828;0.8229;1.8856;0.0;***;167250;2.291539;all_T_high;PLIV;backlog
-0.005242;0.001623;-0.02019652;0.00625161;-2.0197;-0.5242;0.001235;***;35585;0.259572;leg55_T_low;PLR;none
0.002377;0.005481;0.00915821;0.02111695;0.9158;0.2377;0.664514;;35585;0.259572;leg55_T_low;PLIV;backlog
-0.005134;0.001701;-0.00737824;0.00244436;-0.7378;-0.5134;0.002541;***;35581;0.695798;leg55_T_mid;PLR;none
