coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;group;model;iv_set
-0.001505;0.00085;-0.00043279;0.00024447;-0.0433;-0.1505;0.076669;*;187138;3.477701;federal_election;PLR;none
-0.173128;0.01743;-0.0497824;0.00501187;-4.9782;-17.3128;0.0;***;187138;3.477701;federal_election;PLIV;backlog
0.006042;0.000451;0.00294717;0.00022014;0.2947;0.6042;0.0;***;682764;2.049976;non_federal;PLR;none
0.043926;0.002497;0.02142743;0.00121826;2.1427;4.3926;0.0;***;682764;2.049976;non_federal;PLIV;backlog
-0.00609;0.000803;-0.00272205;0.00035907;-0.2722;-0.609;0.0;***;194375;2.237432;municipal_election;PLR;none
0.011116;0.006446;0.00496815;0.00288107;0.4968;1.1116;0.084634;*;194375;2.237432;municipal_election;PLIV;backlog
0.004279;0.000456;0.00168233;0.00017909;0.1682;0.4279;0.0;***;675527;2.543695;non_municipal;PLR;none
0.043043;0.00283;0.01692159;0.00111275;1.6922;4.3043;0.0;***;675527;2.543695;non_municipal;PLIV;backlog
