coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;group;model;iv_set
0.001825;0.000999;0.00079559;0.00043556;0.0796;0.1825;0.067764;*;224309;2.293586;oposicao;PLR;none
-0.049298;0.008725;-0.02149392;0.00380411;-2.1494;-4.9298;0.0;***;224309;2.293586;oposicao;PLIV;backlog
0.005708;0.000482;0.00217657;0.00018368;0.2177;0.5708;0.0;***;424072;2.622425;coalizao;PLR;none
0.146878;0.004127;0.05600851;0.00157387;5.6009;14.6878;0.0;***;424072;2.622425;coalizao;PLIV;backlog
-0.008756;0.000814;-0.00361557;0.00033631;-0.3616;-0.8756;0.0;***;221521;2.421794;independente;PLR;none
-0.038044;0.005949;-0.01570903;0.0024566;-1.5709;-3.8044;0.0;***;221521;2.421794;independente;PLIV;backlog
